#generación, %A, %B, #individuos
>Replica 1
1;10;90;100
2;11;89;100
3;23;77;100
4;38;62;100
5;43;57;100
6;36;64;100
7;41;59;100
8;43;57;100
9;50;50;100
10;53;47;100
11;65;35;100
12;74;26;100
13;82;18;100
14;85;15;100
15;89;11;100
16;93;7;100
17;94;6;100
18;98;2;100
19;98;2;100
20;95;5;100
21;93;7;100
22;93;7;100
23;93;7;100
24;91;9;100
25;94;6;100
26;95;5;100
27;98;2;100
28;98;2;100
29;99;1;100
30;98;2;100
31;99;1;100
32;99;1;100
33;99;1;100
34;96;4;100
35;100;0;100
>Replica 2
1;10;90;100
2;12;88;100
3;8;92;100
4;6;94;100
5;5;95;100
6;5;95;100
7;4;96;100
8;5;95;100
9;9;91;100
10;13;87;100
11;16;84;100
12;16;84;100
13;12;88;100
14;9;91;100
15;10;90;100
16;11;89;100
17;12;88;100
18;12;88;100
19;17;83;100
20;18;82;100
21;18;82;100
22;29;71;100
23;29;71;100
24;27;73;100
25;32;68;100
26;37;63;100
27;33;67;100
28;40;60;100
29;43;57;100
30;47;53;100
31;51;49;100
32;53;47;100
33;63;37;100
34;61;39;100
35;62;38;100
36;68;32;100
37;75;25;100
38;75;25;100
39;74;26;100
40;69;31;100
41;72;28;100
42;74;26;100
43;77;23;100
44;79;21;100
45;82;18;100
46;86;14;100
47;96;4;100
48;96;4;100
49;96;4;100
50;97;3;100
51;98;2;100
52;97;3;100
53;98;2;100
54;96;4;100
55;96;4;100
56;95;5;100
57;94;6;100
58;100;0;100
>Replica 3
1;10;90;100
2;18;82;100
3;18;82;100
4;13;87;100
5;19;81;100
6;24;76;100
7;29;71;100
8;27;73;100
9;28;72;100
10;31;69;100
11;29;71;100
12;31;69;100
13;34;66;100
14;38;62;100
15;41;59;100
16;48;52;100
17;52;48;100
18;48;52;100
19;55;45;100
20;63;37;100
21;71;29;100
22;81;19;100
23;90;10;100
24;88;12;100
25;88;12;100
26;89;11;100
27;88;12;100
28;88;12;100
29;87;13;100
30;85;15;100
31;85;15;100
32;86;14;100
33;85;15;100
34;84;16;100
35;90;10;100
36;90;10;100
37;90;10;100
38;91;9;100
39;93;7;100
40;96;4;100
41;95;5;100
42;96;4;100
43;99;1;100
44;98;2;100
45;99;1;100
46;100;0;100
>Replica 4
1;10;90;100
2;13;87;100
3;16;84;100
4;13;87;100
5;18;82;100
6;26;74;100
7;25;75;100
8;26;74;100
9;26;74;100
10;32;68;100
11;41;59;100
12;45;55;100
13;48;52;100
14;52;48;100
15;59;41;100
16;62;38;100
17;62;38;100
18;67;33;100
19;75;25;100
20;78;22;100
21;75;25;100
22;86;14;100
23;93;7;100
24;94;6;100
25;94;6;100
26;96;4;100
27;98;2;100
28;99;1;100
29;98;2;100
30;97;3;100
31;98;2;100
32;99;1;100
33;100;0;100
>Replica 5
1;10;90;100
2;10;90;100
3;18;82;100
4;25;75;100
5;39;61;100
6;42;58;100
7;48;52;100
8;60;40;100
9;61;39;100
10;67;33;100
11;68;32;100
12;72;28;100
13;73;27;100
14;75;25;100
15;79;21;100
16;80;20;100
17;81;19;100
18;81;19;100
19;84;16;100
20;90;10;100
21;94;6;100
22;95;5;100
23;95;5;100
24;96;4;100
25;99;1;100
26;100;0;100
